did,louvain_community
did:plc:dm7qsw75ikqi6x2jpnze4pcg,4
did:plc:jxsz274bqthnltrjihgx3nfc,4
did:plc:4k2d2v4dny7ywtb3m267rhte,1
did:plc:acoa3gvtvjbb26odaredylru,4
did:plc:ckalmfuedv6jvhioeadps4v3,4
did:plc:pleaqsmx627rn7jboujgonyk,1
did:plc:lbshhmxr3egzqpfiqwvauwbr,1
did:plc:i2jny35s5bsvzlxkr27afzdc,4
did:plc:lruwsyrvsrunrejiu74qgv6j,4
did:plc:dykcuq5egjdicvf74hynp5hf,4
did:plc:5elsbcpy3qgizyisotdfv2bp,0
did:plc:hvg3nh6ccrs46ps5md3domkq,5
did:plc:i4omwinr73nhkrfbb3s27nbk,5
did:plc:cq2zbr2jyzyzavwe6bypdich,5
did:plc:7u2qeguzhg6y7ze72hmtlnra,5
did:plc:n5j6apzubhfbnngojmsu5fg6,2
did:plc:uz5apa2z3jrxhjjzqw5qik65,0
did:plc:dzezcmpb3fhcpns4n4xm4ur5,0
did:plc:uewxgchsjy4kmtu7dcxa77us,0
did:plc:ym6a73dx7kibs6fksyuzewem,0
did:plc:k5nskatzhyxersjilvtnz4lh,0
did:plc:eclio37ymobqex2ncko63h4r,0
did:plc:jbvnehrrdqoulco4rf5gxg5r,0
did:plc:ln72v57ivz2g46uqf4xxqiuh,0
did:plc:lwmiyyhcs43mpjjuqppu4cfq,0
did:plc:yf6hctt2ug3qyfty4in64yob,0
did:plc:qiz5bd6ierfiykcuvzmjaj4e,0
did:plc:klknudxgybzgrr4nkyjm2owg,0
did:plc:yc54nj2zlnqrdotewpkbrauy,0
did:plc:4gdkzr4so73ljqufaiizmtil,0
did:plc:bak7f4b3jsiqlpyo6o4ejaji,0
did:plc:s55iys3p4tup2yzz7q7ddjj3,0
did:plc:yfmsl73ryoitvecltfl6lkjd,0
did:plc:jszy2fvtipwprnjhe7pxytfv,0
did:plc:2lofqead276vtc5647ye7sl2,0
did:plc:nyxviptfyic2lvuorkr5yy3y,0
did:plc:f6avy7jkujdhusski5n64joj,0
did:plc:aonrplpou355iyrtvtimbj2q,0
did:plc:a3anzwkj4bnz2w6mglhs4xfe,0
did:plc:2h5oj7dfciesiknuazc3s3mo,0
did:plc:i3fhjvvkbmirhyu4aeihhrnv,0
did:plc:qtjpurf5fsptp3dhi52kksl6,0
did:plc:r4ve5hjtfjubdwrvlxcad62e,0
did:plc:y3xrmnwvkvsq4tqcsgwch4na,0
did:plc:qqsyx7otajyfeteo655v37xd,0
did:plc:drdkuiw4po3zqrzxy6xb2vlk,0
did:plc:zd2xrecgi2uwl2q44op2rani,0
did:plc:2w45zyhuklwihpdc7oj3mi63,0
did:plc:d2jith367s6ybc3ldsusgdae,0
did:plc:yosojsta3nm5qiod5zqixzur,0
did:plc:4sqb5ugga4lhhrkkuw2sa5oi,0
did:plc:rddeinqb45gzem3n3zyma7im,0
did:plc:yazbevg3wkzp5llnzb44tqgh,0
did:plc:lia4ywzl2c2kt4dn3kzbywog,1
did:plc:j4eroku3volozvv6ljsnnfec,0
did:plc:6uybbvnd3pfjh5oztjngzdss,0
did:plc:g2syplhduvniqojxe2qpc4uh,4
did:plc:inz4fkbbp7ms3ixufw6xuvdi,0
did:plc:7o72diqrc4plz7e43qn6bnrf,0
did:plc:7exlcsle4mjfhu3wnhcgizz6,0
did:plc:ihxnlmrjp6qjrix4td3mcvcb,1
did:plc:eqxgxt3mwgkgl6gppln3varg,1
did:plc:ngqdkvttdmzsbwb2mngquwip,1
did:plc:nrepv6pvm5zcexreteqt4axg,1
did:plc:xc52wj7pj5dmo7ot5tf7gldn,1
did:plc:swlqsuo6nbyi7apom34s5vys,1
did:plc:5wgnytg43yddk5iwbtdjpiuc,4
did:plc:2mjiozysq2ofvxhodz23y24k,1
did:plc:x7txiel3rihm7ywmzopxkabr,1
did:plc:6dtt4jhfu57sn5ijq4ybthme,1
did:plc:mhs6smrcfeuxuqde6jvcc577,1
did:plc:n6ntylxdpoo74zfscij4zpwr,6
did:plc:rkounysspfmbt4ji4ql663cq,1
did:plc:m3l3ri5vo5i4v2dij6siaf6z,0
did:plc:foo4fbrnrytyzd2r4mnz45md,5
did:plc:37hvcducoqcdzssu3xbfn4he,1
did:plc:v6hlz6d2r4wwpzwxwwnsymqq,4
did:plc:xlope3oo4etb3hq5l3adqznx,1
did:plc:nrgu6twehgkzqs36hdemrc4t,1
did:plc:2tjnqjbnqampayvk4hez7q3h,0
did:plc:kqsdfw4cj532lp7bidtdzyyz,5
did:plc:xx7o52o4rymlkqyzykn7t42b,5
did:plc:kjsha4qvpwos7puxnq7v5jus,1
did:plc:5pn3exivkrln2gnb3owsgvf7,1
did:plc:univ47kzorwxjih3lqzrnwmv,5
did:plc:e5lxcjzmzcbqdkus2m6j7ubj,5
did:plc:ml3vdeum4wilvamp6xozjfej,5
did:plc:x2gxgjimdcwqmgsucg2ywrvv,1
did:plc:hwa3zjgonumlwc3cxc7pmz5j,1
did:plc:5p3uw72sxsng7n5mwzkeqihp,1
did:plc:7hjw3n2f7fokngvj5a43ly2k,0
did:plc:dgvvohyxnliqfvahm2glwn4p,1
did:plc:ss2gkhwoqww2db4pc4jey357,4
did:plc:tbq7otht6fsjilaqsmyvlwnv,4
did:plc:qtzzfspp4r4yovzxqr4zkxni,4
did:plc:3wuj4mm5cl556oggem3hmkxj,4
did:plc:xtrgj3ni2rac4ryfn3etfx53,4
did:plc:4lxmlq6dqiell7t7f4ub42ln,4
did:plc:zhjeqy7jvp4umlvgywneerkb,4
did:plc:vdsijt3kvfafo7ng4i7r55ll,4
did:plc:wpxaqfmhbluwab5nl3zqzc57,4
did:plc:aobka6qeawk6vcumybjiqldu,4
did:plc:gaipzpivvarudkqxva4kkwgm,4
did:plc:japrlriaauyg5nfofgajgspv,4
did:plc:pxbxe7c77c5g7vomtlzjxmvc,4
did:plc:mjgwvlza46bmghtutfjxd2l7,1
did:plc:nk7f7lzeay52kuarnpbkjbxs,4
did:plc:nd7oohgvlz6rapsoge3rg2n2,4
did:plc:3c2jqzxsu5rw5ssxl2mkjemx,4
did:plc:xusbpiaaacexm7e46vj3o5xk,4
did:plc:h6bytgeodifjvj6aknepwy2i,4
did:plc:bgorsrhalh5gtizei6eizrlf,4
did:plc:siod5edzckvqvfwdos6tifxt,4
did:plc:loyczsruuyua5g7awovmpamw,4
did:plc:5solczla2olfb7qjqrgctuvc,4
did:plc:kxjcwle5l7jlp5qh32xrwyg3,4
did:plc:2yy3tjk5ct2ds7tlalue4bs5,4
did:plc:fb5wi43tmtkn5im6trucxj2w,4
did:plc:3xxoxkrzhyy7h2eyy7azfemm,4
did:plc:jvnnnxkxya3im3caddsb6a3s,4
did:plc:ktckrj7tbft4gtb7zcq5a4sy,4
did:plc:gfovrnpbkm6pf5bqpwoczdaw,4
did:plc:pgr7qx4bootr545zfwljx4dz,4
did:plc:fmr7lm6747kr6utn6fipmn6n,4
did:plc:jx5h76mqpzs5kabk34awuagx,4
did:plc:lr3aqrrptkal5cqqcqnvazub,4
did:plc:dsuseezb6r5df6yplfzcexae,4
did:plc:fg2246ditabonljqhkxuarhr,4
did:plc:t7xxddu32hgqgt5q7wb5uawi,4
did:plc:kduchpobteztgtgaze3r7le3,4
did:plc:pcoyow7x74wtg37ubvxr6y4p,4
did:plc:gbhfdgrcigvjutx23z5bozlo,4
did:plc:tdzr7n63aw6gcodi4wdwn3wz,4
did:plc:crdlpjyzqktbprlqkybud7sl,4
did:plc:lwxnvilvv6krtdwg3x5wccfp,4
did:plc:x2363fc6v6ijyigltq5ztixv,4
did:plc:wvb4iczed4vztwh6wsn5fsb2,4
did:plc:vju6hejdv6z2bdsvb3no4dni,4
did:plc:wgptm3zs7qmk77a7secmppi7,4
did:plc:dc5ogm53rwbd2unrefscqsjp,4
did:plc:rcggehgh4i5hv23aanmwrhwi,4
did:plc:ckrzdo7lvgyidayr6adznflp,4
did:plc:czqr6euaekrocfpmzkord7cj,4
did:plc:rl5s2hdqr3kyoobyx4ekqdrp,4
did:plc:m3zdhyfpg5alw3tugj4pqce3,4
did:plc:oeiw3hpgpjwi546yqyaejlbf,4
did:plc:75c5eudxofugg7xwzfpmwaov,4
did:plc:3pnsotboyfxyljxjjuyrliev,4
did:plc:funpixcztysgcgvutfyjabnl,4
did:plc:frxyhqz6icssh3374ahyid7f,4
did:plc:2fzmeezz2fh5j4kaq566rd3m,4
did:plc:wnkyqctkmc64rzv7dglwvfsd,4
did:plc:qa6pmh23bemgyqugx2zpe74p,4
did:plc:k4a3t7rvvewofpwc7seo6fs6,4
did:plc:d2kekyg6gt42ubsdap53shlf,4
did:plc:m7m7xfifbtfoc3fgj757r5sq,4
did:plc:srrlgvx6lxpidfmcsnggs5ey,4
did:plc:oyvveblf5q5qgwkw3dtswati,4
did:plc:3go3bxhifewfxngtsnml5lal,4
did:plc:ffkgesg3jsv2j7aagkzrtcvt,4
did:plc:l2bfyitbrjr77tp5xsxf4tyy,4
did:plc:ld574he75dmhghpg5byofqgq,4
did:plc:l7n5tr4uan3dtyjucyby2pj3,4
did:plc:e3hekeicqggtyjxbxlaqipnh,4
did:plc:z6k7ojdmtppmwbxjc6hkg3pr,4
did:plc:cxjouns6mf4dn3ffplg7lsls,4
did:plc:3tu4a77bfhjllc72snpzvyhb,4
did:plc:yr5z5y4dor6pyahrkjoxlcpw,4
did:plc:m4ir7xpzqvzcsx6vikqkxo7b,4
did:plc:oky5czdrnfjpqslsw2a5iclo,0
did:plc:f6hdxggxx4qfijx4sd3dnbkg,0
did:plc:a3h6mkohqeiu6xl4fnrwuk4t,0
did:plc:dry4szhzrm3uq6c4xex5kfrc,0
did:plc:mrviprpgyex3ufm6kgmervtz,1
did:plc:ewemrbht5o2iwrbqo7roo2ga,1
did:plc:ufeast2u42b4flgmusqvefi5,1
did:plc:ldsuev7y6bv42gxn7b4kk24i,1
did:plc:a3dwyyo2xvbtuu6vsbzp7sih,1
did:plc:aain426s2iz7nlfk6vd5xtrw,1
did:plc:eex23ecvvr6mh375dftpnkiv,1
did:plc:3d4zwhlmc2i74qatk3gppvzw,1
did:plc:5n3udlijctyihfhnat3yp7fs,1
